,sentiments,user,tweet,hashtag,player
0,POSITIVE,beardsational,"I’m sorry, but if you received two party invitations, one for Under The Sea and one for Toga, and you choose Toga, we can’t be friends. #TheCircle #TheCircleNetflix","['TheCircle', 'TheCircleNetflix']",set()
1,POSITIVE,KingDelfrano,enjoying this season of #TheCircle so far… nobody on here that i’m annoyed with… on Ep 3.  The Spice Girls… good touch.,['TheCircle'],{'playereight'}
2,POSITIVE,KMJeezy,Ok I aint like Yu Ling at first but she is coming around #TheCircle,['TheCircle'],{'playertwo'}
3,NEGATIVE,Blake_Jorgensen,I need someone to watch #TheCircle with me so they can know that I’ve have perfected my Frank voice.🤣😂,['TheCircle'],{'playeron'}
4,NEGATIVE,jceron12,I haven’t been seeing any tweets about #thecircleseason3. I don’t like that. #TheCircle #TheCircleNetflix,"['thecircleseason3', 'TheCircle', 'TheCircleNetflix']",set()
5,NEGATIVE,IrishBrassil,"Finally finding time to read @RealDavidPoyer’s #TheCircle

Last read it on a beach probably 30 years ago. 

212 (area code &amp; pages) in… 😂

Akula? 🦈

Had to post as I feel I’m playing my old #DOS #Harpoon game #ThreeSixtyPacific https://t.co/IJRqwfuSp3","['TheCircle', 'DOS', 'Harpoon', 'ThreeSixtyPacific']",set()
6,NEGATIVE,ShitTroyTweets,"Can we start a campaign to get Bob Netflick to put @trixiemattel and @katya_zamo in to the next season of #TheCircleNetflix #THECIRCLE 
#TheCircle4","['TheCircleNetflix', 'THECIRCLE', 'TheCircle4']",set()
7,NEGATIVE,EchoDoesRadio,OH NAHHH THESE PLOT TWISTS HAVE ME SCREAAMMIINNGG!! 😱 #ImShook #TheCircle,"['ImShook', 'TheCircle']",set()
8,POSITIVE,borninthe1900s_,Bru shouldn't make my ovaries hurt but he does #LoveMe #HaveMyBabies #theCircle,"['LoveMe', 'HaveMyBabies', 'theCircle']",{'playersix'}
9,NEGATIVE,HealthyRis,"I’m so annoyed with this season. Why did the Spice Girls visit Alyssa. Yu ling (of course) let Alyssa bully her into blocking Crissa. Blocking Crissa was BAD for Yu ling’s game and great for Alyssa. Like, Yu ling you need to use your brain #TheCircle",['TheCircle'],"{'playertwo', 'playerf', 'playereight', 'playerthr'}"
10,NEGATIVE,quietconqueror,"Faves so far are Frank, Crissa and Yu Ling #thecircle",['thecircle'],"{'playertwo', 'playerthr'}"
11,NEGATIVE,jasonshevrin,Help I need to talk about #TheCircle antivirus episode.,['TheCircle'],set()
12,NEGATIVE,EchoDoesRadio,I’m trying to figure out why Alex/Nathan wants me to run fast #TheCircle,['TheCircle'],set()
13,NEGATIVE,KENNECTED,"@JavvySJ the other players knew she was a catfish sandwich 20 minutes into the game!

#TheCircleNetflix 
#THECIRCLE","['TheCircleNetflix', 'THECIRCLE']",set()
14,POSITIVE,LoveMyTrashTV,#TheCircle let’s try this again. #Emerson I’m here for ya.,"['TheCircle', 'Emerson']",set()
15,NEGATIVE,sc0zz,"#TheCircle has ""Goodbye"" by Spice Girls on repeat for my evening commutes 😤😤",['TheCircle'],{'playereight'}
16,NEGATIVE,meow_lenny,Watching #thecircle sippin wine and eating frosting from the tub. Dont judge me.,['thecircle'],set()
17,NEGATIVE,sliceofkatie,Getting into #TheCircle and Parker did not do enough research to catfish as a someone almost 3 times older than her 😂😂😂,['TheCircle'],set()
18,NEGATIVE,ItsBriittaniiee,Ugh that 2nd blocking was ghetto. I’m taking a break to go cry 😭 #TheCircle,['TheCircle'],set()
19,NEGATIVE,EchoDoesRadio,These plot twists are reaalll mess this season! #TheCircle,['TheCircle'],set()
20,NEGATIVE,simply_cerulean,"I think that #TheCircle needs to add incentives to catch catfish or even for catfish getting to the end.

Like maybe every catfish that makes it to the end gets 25k regardless of whether they win or not. Or if no catfish gets to the end then the winner gets 50k extra. Idk.",['TheCircle'],set()
21,NEGATIVE,eljpgplus,Everyone on #thecircle could use some lessons in reading comprehension.,['thecircle'],set()
22,POSITIVE,EchoDoesRadio,I love Frank so much!! #TheCircle,['TheCircle'],{'playeron'}
23,NEGATIVE,HealthyRis,I just know Yu Ling is going to let Alyssa bully her into letting Frank or Crissa go home. I’m irritated #TheCircle,['TheCircle'],"{'playertwo', 'playerf', 'playeron', 'playerthr'}"
24,NEGATIVE,_r_ai__,"Yu Ling is starting to rub me off the wrong way  #TheCircle

Trying too hard and being fake",['TheCircle'],{'playertwo'}
25,NEGATIVE,EchoDoesRadio,Why are so many of the apartments are pink this season? #TheCircle,['TheCircle'],set()
26,POSITIVE,excellenteczema,frank better win #thecircle because he’s been nothing but his genuine and loving self and he’s been playing a SMART GAME https://t.co/di1TphFn06,['thecircle'],{'playeron'}
27,POSITIVE,DMJazzyHands,"Come through, anonmynmnity. #TheCircle",['TheCircle'],set()
28,POSITIVE,quietconqueror,Ok but there's really no one I dislike so far #thecircle,['thecircle'],set()
29,POSITIVE,HadiaJaxT,Yu Ling 🚮 #TheCircle,['TheCircle'],{'playertwo'}
30,NEGATIVE,Viv_ienne___,#TheCircleNetflix if  alyssa wins seems like TL will be collectively underwhelmed and disappointed. I guess shes not that likeable?? #thecircle,"['TheCircleNetflix', 'thecircle']",{'playerf'}
31,POSITIVE,vaingirI,Yu Ling supremacy #TheCircle,['TheCircle'],{'playertwo'}
32,NEGATIVE,realityalert_,"We're about to go LIVE on YouTube and Twitch to discuss Season 4 Episode 8 of @CircleNetflix! Join us!

YT: https://t.co/kCETOvdJKa
Twitch: https://t.co/F6qgCMTFpG

#TheCircle #TheCircleNetflix #Netflix #TheCircleUS #Circle #CircleNetflix #Reality #realityseries https://t.co/8qPR3RRX0c","['TheCircle', 'TheCircleNetflix', 'Netflix', 'TheCircleUS', 'Circle', 'CircleNetflix', 'Reality', 'realityseries']",set()
33,NEGATIVE,connorreda,"“Oh my god is this like a CHAIN?!?!?” 

We all know Alex said safety chain. Netflix clearly edited it out. This is my conspiracy #TheCircle",['TheCircle'],{'playerten'}
34,NEGATIVE,ScrawnyRhino,I hope Bru chooses John/Carol because we need some karma after Crissas blocking #TheCircle #TheCircleNetflix,"['TheCircle', 'TheCircleNetflix']","{'playerfour', 'playersix'}"
35,NEGATIVE,AdoreMy_Essence,Wowww! Nathan got that eagle question right! I don’t even know what a par is 😂😂 #TheCircleNetflix #THECIRCLE,"['TheCircleNetflix', 'THECIRCLE']",{'playerten'}
36,POSITIVE,ScrawnyRhino,Yu Ling choosing Rachel over Alyssa. I know that’s right! #TheCircle #TheCircleNetflix https://t.co/QZSvNTN9Jd,"['TheCircle', 'TheCircleNetflix']",{'playertwo'}
37,POSITIVE,AdoreMy_Essence,YESS BRU! That golf question was PERFECT! #TheCircleNetflix #thecircle,"['TheCircleNetflix', 'thecircle']",set()
38,NEGATIVE,ScrawnyRhino,Omg a safety chain! #theCircle #TheCircleNetflix https://t.co/rP9GOuHCyt,"['theCircle', 'TheCircleNetflix']",set()
39,NEGATIVE,quietconqueror,Baby and Scary Spice are so funny but they're getting  blocked in two days #thecircle,['thecircle'],{'playereight'}
40,POSITIVE,AdoreMy_Essence,I like that Rachel wasn’t shady and made her concerns about Carol known in front of Bru. #TheCircleNetflix #THECIRCLE,"['TheCircleNetflix', 'THECIRCLE']",{'playerfour'}
41,NEGATIVE,quietconqueror,Frank's choice... I'm screaming #thecircle,['thecircle'],set()
42,POSITIVE,Silent_Podcasts,"Alert! Alert! is back to recap episodes 3 &amp; 4 of #TheCircleNetflix for you. Join @josianexnm and @kgd26 now as they discuss the great adventure to catch the Spice Girls!

https://t.co/ErpSUJWY5O
https://t.co/HonTPhXeRP

#thecircle #thecircleseason4 https://t.co/XC4mJeyWHi","['TheCircleNetflix', 'thecircle', 'thecircleseason4']",{'playereight'}
