,Date,User,Tweet
0,2022-05-13 23:57:47+00:00,beardsational,"I’m sorry, but if you received two party invitations, one for Under The Sea and one for Toga, and you choose Toga, we can’t be friends. #TheCircle #TheCircleNetflix"
1,2022-05-13 23:57:14+00:00,KingDelfrano,enjoying this season of #TheCircle so far… nobody on here that i’m annoyed with… on Ep 3.  The Spice Girls… good touch.
2,2022-05-13 23:51:51+00:00,KMJeezy,Ok I aint like Yu Ling at first but she is coming around #TheCircle
3,2022-05-13 23:49:00+00:00,Blake_Jorgensen,I need someone to watch #TheCircle with me so they can know that I’ve have perfected my Frank voice.🤣😂
4,2022-05-13 23:47:58+00:00,jceron12,I haven’t been seeing any tweets about #thecircleseason3. I don’t like that. #TheCircle #TheCircleNetflix
5,2022-05-13 23:44:55+00:00,IrishBrassil,"Finally finding time to read @RealDavidPoyer’s #TheCircle

Last read it on a beach probably 30 years ago. 

212 (area code &amp; pages) in… 😂

Akula? 🦈

Had to post as I feel I’m playing my old #DOS #Harpoon game #ThreeSixtyPacific https://t.co/IJRqwfuSp3"
6,2022-05-13 23:41:22+00:00,ShitTroyTweets,"Can we start a campaign to get Bob Netflick to put @trixiemattel and @katya_zamo in to the next season of #TheCircleNetflix #THECIRCLE 
#TheCircle4"
7,2022-05-13 23:40:25+00:00,EchoDoesRadio,OH NAHHH THESE PLOT TWISTS HAVE ME SCREAAMMIINNGG!! 😱 #ImShook #TheCircle
8,2022-05-13 23:31:32+00:00,borninthe1900s_,Bru shouldn't make my ovaries hurt but he does #LoveMe #HaveMyBabies #theCircle
9,2022-05-13 23:30:42+00:00,HealthyRis,"I’m so annoyed with this season. Why did the Spice Girls visit Alyssa. Yu ling (of course) let Alyssa bully her into blocking Crissa. Blocking Crissa was BAD for Yu ling’s game and great for Alyssa. Like, Yu ling you need to use your brain #TheCircle"
10,2022-05-13 23:29:43+00:00,quietconqueror,"Faves so far are Frank, Crissa and Yu Ling #thecircle"
11,2022-05-13 23:29:18+00:00,jasonshevrin,Help I need to talk about #TheCircle antivirus episode.
12,2022-05-13 23:28:47+00:00,EchoDoesRadio,I’m trying to figure out why Alex/Nathan wants me to run fast #TheCircle
13,2022-05-13 23:28:01+00:00,KENNECTED,"@JavvySJ the other players knew she was a catfish sandwich 20 minutes into the game!

#TheCircleNetflix 
#THECIRCLE"
14,2022-05-13 23:20:50+00:00,LoveMyTrashTV,#TheCircle let’s try this again. #Emerson I’m here for ya.
15,2022-05-13 23:18:36+00:00,sc0zz,"#TheCircle has ""Goodbye"" by Spice Girls on repeat for my evening commutes 😤😤"
16,2022-05-13 23:13:32+00:00,meow_lenny,Watching #thecircle sippin wine and eating frosting from the tub. Dont judge me.
17,2022-05-13 23:09:56+00:00,sliceofkatie,Getting into #TheCircle and Parker did not do enough research to catfish as a someone almost 3 times older than her 😂😂😂
